Loading files... 
  Starting company_founder_full.tsv
  Finished company_founder_full.tsv, still running: 0
Loaded 47493 facts in 0.82 s using -90 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  founded_by  ?b  ?b  workplaces  ?a   => ?a  founder  ?b	0.014084507	0.5	1	1	2	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  key_person  ?b   => ?a  founder  ?b	0.112676056	0.533333333	0.888888889	8	15	9	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  known  ?a   => ?a  founder  ?b	0.014084507	1	1	1	1	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  key_people  ?b   => ?a  founder  ?b	0.112676056	0.727272727	0.888888889	8	11	9	?b	0.0	0.0	0.0
?f  known_for  ?a  ?b  name  ?f   => ?a  founder  ?b	0.056338028	0.076923077	0.153846154	4	52	26	?b	0.0	0.0	0.0
?a  founder  ?f  ?b  name  ?f   => ?a  founder  ?b	0.338028169	0.96	1	24	25	24	?b	0.0	0.0	0.0
?b  name  ?f  ?f  workplaces  ?a   => ?a  founder  ?b	0.014084507	0.142857143	0.166666667	1	7	6	?b	0.0	0.0	0.0
?f  boards  ?a  ?b  name  ?f   => ?a  founder  ?b	0.014084507	0.071428571	0.111111111	1	14	9	?b	0.0	0.0	0.0
?a  ceo  ?f  ?b  name  ?f   => ?a  founder  ?b	0.014084507	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_person  ?f  ?b  name  ?f   => ?a  founder  ?b	0.070422535	0.15625	0.333333333	5	32	15	?b	0.0	0.0	0.0
?a  founded_by  ?f  ?b  name  ?f   => ?a  founder  ?b	0.183098592	0.448275862	0.722222222	13	29	18	?b	0.0	0.0	0.0
?a  key_people  ?f  ?b  name  ?f   => ?a  founder  ?b	0.056338028	0.137931034	0.333333333	4	29	12	?b	0.0	0.0	0.0
?a  commons_category  ?f  ?b  occupation  ?f   => ?a  founder  ?b	0.014084507	0.083333333	0.5	1	12	2	?b	0.0	0.0	0.0
?f  display  ?a  ?b  occupation  ?f   => ?a  founder  ?b	0.014084507	0.03030303	0.25	1	33	4	?b	0.0	0.0	0.0
?f  commons_category  ?a  ?b  occupation  ?f   => ?a  founder  ?b	0.014084507	0.083333333	0.5	1	12	2	?b	0.0	0.0	0.0
?b  occupation  ?f  ?a  successor  ?f   => ?a  founder  ?b	0.014084507	0.018867925	0.2	1	53	5	?b	0.0	0.0	0.0
?a  display  ?f  ?b  occupation  ?f   => ?a  founder  ?b	0.014084507	0.03030303	0.25	1	33	4	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  region_served  ?f   => ?a  founder  ?b	0.028169014	0.054054054	0.222222222	2	37	9	?b	0.0	0.0	0.0
?a  area_served  ?f  ?b  birth_place  ?f   => ?a  founder  ?b	0.014084507	0.083333333	0.333333333	1	12	3	?b	0.0	0.0	0.0
?a  founded_by  ?f  ?b  spouse  ?f   => ?a  founder  ?b	0.028169014	0.117647059	1	2	17	2	?b	0.0	0.0	0.0
?a  founder  ?f  ?b  spouse  ?f   => ?a  founder  ?b	0.028169014	0.117647059	1	2	17	2	?b	0.0	0.0	0.0
?b  known_for  ?f  ?a  name  ?f   => ?a  founder  ?b	0.014084507	0.045454545	0.166666667	1	22	6	?b	0.0	0.0	0.0
